,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,filtered_genre
3009,Bobby Lewis,0.3720000000000001,0.5559999999999999,148676.75,0.7184999999999999,0.0,0.146025,-7.963000000000001,0.049825,142.91099999999997,0.945,25.25,0,1,8,['rhythm and blues'],R&B
3010,Bobby Lord,0.731,0.81,129160.0,0.795,1.16e-06,0.242,-4.191,0.0291,100.099,0.916,9.0,10,1,2,"['rockabilly', 'traditional rockabilly']",Rock
3011,Bobby Lyle,0.32,0.657,310893.0,0.494,0.852,0.0435,-11.993,0.0252,92.064,0.313,37.0,7,1,2,"['deep smooth jazz', 'smooth jazz']",Jazz
3013,Bobby Marchan,0.8495,0.5455,146102.0,0.2885,0.0,0.15195,-7.8725,0.2656,126.4625,0.4864999999999999,8.5,10,1,4,"['rhythm and blues', 'southern soul']",R&B
3019,Bobby Rydell,0.6551538461538461,0.4853076923076924,173546.61538461538,0.4814615384615384,2.0523846153846155e-05,0.2615769230769231,-8.447884615384616,0.0710884615384615,116.75761538461542,0.611076923076923,23.42307692307693,0,1,26,"['adult standards', 'brill building pop', 'bubblegum pop', 'deep adult standards', 'doo-wop', 'merseybeat', 'rock-and-roll', 'rockabilly']",Pop
3020,Bobby Sherman,0.507,0.425,172838.0,0.41,2.18e-06,0.3,-15.880999999999998,0.0341,82.177,0.664,37.0,9,1,2,['bubblegum pop'],Pop
3021,Bobby Shmurda,0.0513444444444444,0.7978888888888891,195068.33333333328,0.6201111111111111,4.022222222222223e-07,0.1820444444444444,-6.172999999999999,0.3062,149.49311111111118,0.5571111111111111,62.44444444444444,9,1,9,"['nyc rap', 'trap']",Rap
3024,Bobby Solo,0.765,0.4629999999999999,144347.0,0.287,8.87e-05,0.363,-12.98,0.0286,95.298,0.462,22.0,11,0,2,['classic italian pop'],Pop
3028,Bobby Timmons,0.8783703703703704,0.5673703703703704,292553.25925925927,0.3291481481481481,0.6718888888888886,0.1570666666666666,-14.729259259259257,0.0470666666666666,110.56699999999998,0.5262370370370368,13.444444444444445,5,1,27,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz piano', 'soul jazz', 'stride']",Jazz
3031,Bobby V.,0.23634,0.6676,280538.9,0.7274,0.000466984,0.2014,-5.057,0.1392499999999999,117.44509999999998,0.6734,56.3,11,1,10,"['deep pop r&b', 'hip hop', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']",Hip-hop
3032,Bobby Valentin,0.6126470588235292,0.6762941176470587,290618.8823529412,0.6118235294117647,0.0640342452941176,0.1201588235294118,-8.978588235294119,0.0574647058823529,104.47223529411764,0.8921764705882351,27.52941176470589,9,0,34,"['deep pop r&b', 'hip hop', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']",Hip-hop
3034,Bobby Vee,0.7305593220338982,0.5067457627118644,143895.0,0.3633559322033898,4.3937288135593215e-06,0.1698372881355932,-11.80472881355932,0.0371915254237288,109.6096101694915,0.6415762711864406,25.627118644067803,7,1,59,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']",Pop
3035,Bobby Vinton,0.7831153846153843,0.3663076923076923,158432.76923076922,0.2601519230769229,6.621634615384618e-05,0.2041442307692307,-12.583903846153849,0.0300846153846153,95.9049038461538,0.4009615384615386,29.51923076923077,10,1,104,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'easy listening', 'lounge', 'rock-and-roll']",Pop
3039,Bobo,0.0649,0.7020000000000001,222960.0,0.978,0.000444,0.311,-3.406,0.0473,110.0,0.6679999999999999,50.0,8,1,1,"['bubblegum dance', 'eurodance', 'europop', 'hip house']",EDM
3040,Bodeans,0.141215875,0.5847499999999999,226991.625,0.6132500000000001,0.0118646375,0.193475,-12.442250000000003,0.0350375,131.47299999999998,0.7490000000000001,34.0,9,1,16,"['pop rock', 'roots rock']",Pop
3043,Body Count,0.1257489999999999,0.518,218322.6,0.7546000000000002,0.0841019359999999,0.3702,-9.2578,0.30524,134.22060000000005,0.475,41.6,9,1,10,"['alternative metal', 'funk metal', 'metal', 'nu metal', 'rap metal', 'rap rock']",Metal
3044,Bodyjar,0.000122,0.4679999999999999,188960.0,0.974,0.000169,0.162,-5.0,0.136,111.264,0.324,53.0,9,1,2,"['australian alternative rock', 'melodic hardcore', 'skate punk']",Rock
3050,Bola Sete,0.8354444444444443,0.5411111111111112,293082.88888888893,0.3436666666666666,0.436282,0.1348,-16.27466666666667,0.0378777777777777,109.90944444444445,0.7388888888888889,22.777777777777786,8,1,18,"['bossa nova', 'brazilian jazz']",Jazz
3051,Bolbbalgan4,0.5489999999999999,0.6325000000000001,197613.0,0.8069999999999999,0.0,0.07405,-2.628,0.09745,135.007,0.7445,66.5,1,1,4,"['k-pop', 'korean pop']",Pop
3052,Bolt Thrower,1.01e-06,0.21,278880.0,0.8973333333333331,0.8943333333333333,0.1705666666666666,-8.58,0.0831333333333333,117.654,0.1286,38.0,5,1,6,"['brutal death metal', 'death metal', 'deathgrind', 'metal', 'technical death metal']",Metal
